COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial
1719004; 78 ; 529 ; 133 ; -   ; -   ; -   ; 23 ; 2 ; 3 ; 1 ; -   ; -   ; -   ; 3 ; 5 ; 31 ; 9 ; -   ; -   ; -   ; 33 
1720002; 142 ; 414 ; 163 ; -   ; 17 ; 17 ; 17 ; 4 ; 5 ; 1 ; -   ; 1 ; 1 ; 3 ; 12 ; 28 ; 9 ; -   ; 4 ; 4 ; 19 
1720101; 190 ; 1.052 ; 235 ; -   ; -   ; 120 ; 40 ; 7 ; 9 ; 2 ; -   ; -   ; 4 ; 5 ; 13 ; 68 ; 26 ; -   ; -   ; 20 ; 33 
1720150; 52 ; 382 ; 118 ; -   ; -   ; -   ; 3 ; 4 ; 7 ; 1 ; -   ; -   ; -   ; 1 ; 6 ; 20 ; 9 ; -   ; -   ; -   ; 8 
1720200; 419 ; 1.984 ; 424 ; -   ; -   ; 97 ; 46 ; 12 ; 13 ; 2 ; -   ; -   ; 2 ; 7 ; 20 ; 96 ; 31 ; -   ; -   ; 13 ; 59 
1720259; 111 ; 650 ; 149 ; 35 ; -   ; -   ; 10 ; 2 ; 7 ; 4 ; 1 ; -   ; -   ; 5 ; 5 ; 45 ; 21 ; 6 ; -   ; -   ; 23 
1720309; 198 ; 910 ; 156 ; -   ; -   ; -   ; 23 ; 6 ; 7 ; 1 ; -   ; -   ; -   ; 5 ; 12 ; 37 ; 10 ; -   ; -   ; -   ; 23 
1720499; 139 ; 736 ; 145 ; -   ; -   ; 38 ; 22 ; 2 ; 6 ; 1 ; -   ; -   ; 1 ; 3 ; 6 ; 52 ; 14 ; -   ; -   ; 12 ; 35 
1720655; 194 ; 1.012 ; 228 ; -   ; -   ; -   ; 18 ; 1 ; 5 ; 1 ; -   ; -   ; -   ; 4 ; 11 ; 45 ; 15 ; -   ; -   ; -   ; 26 
1720804; 598 ; 1.777 ; 345 ; -   ; 99 ; 183 ; 107 ; 10 ; 15 ; 3 ; -   ; 4 ; 6 ; 14 ; 36 ; 103 ; 31 ; -   ; 8 ; 21 ; 92 
1720853; 54 ; 364 ; 66 ; -   ; -   ; -   ; 5 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; 2 ; 5 ; 18 ; 7 ; -   ; -   ; -   ; 13 
1720903; 321 ; 2.577 ; 485 ; -   ; -   ; 145 ; 94 ; 10 ; 15 ; 2 ; -   ; -   ; 1 ; 9 ; 15 ; 122 ; 34 ; -   ; -   ; 14 ; 72 
1720937; 104 ; 364 ; 81 ; -   ; 24 ; 24 ; 28 ; 1 ; 2 ; 1 ; -   ; 1 ; 1 ; 3 ; 7 ; 19 ; 8 ; -   ; 2 ; 2 ; 17 
1720978; 70 ; 503 ; 90 ; -   ; -   ; -   ; 9 ; 3 ; 4 ; 1 ; -   ; -   ; -   ; 3 ; 6 ; 33 ; 7 ; -   ; -   ; -   ; 11 
1721109; 300 ; 1.821 ; 363 ; 110 ; -   ; 391 ; 81 ; 3 ; 36 ; 2 ; 1 ; -   ; 9 ; 9 ; 16 ; 131 ; 32 ; 15 ; -   ; 37 ; 76 
1721208; 1.014 ; 4.083 ; 930 ; 158 ; 16 ; 408 ; 367 ; 14 ; 29 ; 6 ; 2 ; 1 ; 3 ; 21 ; 63 ; 205 ; 72 ; 26 ; 4 ; 34 ; 176 
1721257; 69 ; 279 ; 57 ; -   ; -   ; -   ; 4 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; 3 ; 5 ; 22 ; 11 ; -   ; -   ; -   ; 16 
1721307; 101 ; 354 ; 94 ; -   ; -   ; -   ; 8 ; 1 ; 3 ; 1 ; -   ; -   ; -   ; 3 ; 6 ; 23 ; 8 ; -   ; -   ; -   ; 12 
