COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial
5211404; 350 ; 874 ; 253 ; -   ; -   ; 21 ; 36 ; 4 ; 4 ; 1 ; -   ; -   ; 1 ; 3 ; 21 ; 56 ; 24 ; -   ; -   ; 11 ; 38 
5211503; 5.332 ; 12.436 ; 3.858 ; 1.037 ; -   ; 1.112 ; 685 ; 42 ; 43 ; 18 ; 4 ; -   ; 12 ; 51 ; 290 ; 762 ; 320 ; 97 ; -   ; 141 ; 789 
5211602; 56 ; 235 ; 58 ; -   ; -   ; 24 ; 5 ; 2 ; 2 ; 1 ; -   ; -   ; 1 ; 2 ; 6 ; 13 ; 6 ; -   ; -   ; 4 ; 8 
5211701; 212 ; 696 ; 209 ; -   ; -   ; -   ; 16 ; 3 ; 5 ; 1 ; -   ; -   ; -   ; 5 ; 14 ; 46 ; 17 ; -   ; -   ; -   ; 31 
5211800; 1.474 ; 5.883 ; 1.730 ; -   ; -   ; 232 ; 362 ; 25 ; 28 ; 6 ; -   ; -   ; 3 ; 23 ; 84 ; 252 ; 85 ; -   ; -   ; 24 ; 242 
5211909; 4.959 ; 12.648 ; 4.082 ; 569 ; -   ; 916 ; 543 ; 50 ; 43 ; 17 ; 2 ; -   ; 6 ; 57 ; 248 ; 538 ; 336 ; 77 ; -   ; 81 ; 550 
5212006; 101 ; 328 ; 88 ; -   ; -   ; 12 ; 26 ; 2 ; 2 ; 1 ; -   ; -   ; 1 ; 2 ; 7 ; 26 ; 17 ; -   ; -   ; 7 ; 24 
5212055; 81 ; 337 ; 92 ; -   ; -   ; -   ; 40 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; 3 ; 6 ; 22 ; 11 ; -   ; -   ; -   ; 22 
5212105; 338 ; 853 ; 225 ; -   ; -   ; 39 ; 32 ; 2 ; 4 ; 1 ; -   ; -   ; 2 ; 6 ; 23 ; 38 ; 17 ; -   ; -   ; 9 ; 41 
5212204; 660 ; 2.388 ; 925 ; -   ; -   ; 67 ; 138 ; 9 ; 16 ; 5 ; -   ; -   ; 2 ; 14 ; 42 ; 145 ; 66 ; -   ; -   ; 13 ; 126 
5212253; 98 ; 182 ; 74 ; -   ; -   ; 25 ; 9 ; 1 ; 2 ; 1 ; -   ; -   ; 1 ; 3 ; 6 ; 19 ; 10 ; -   ; -   ; 8 ; 17 
5212303; 299 ; 1.079 ; 223 ; -   ; -   ; 31 ; 46 ; 10 ; 11 ; 2 ; -   ; -   ; 2 ; 9 ; 33 ; 72 ; 22 ; -   ; -   ; 7 ; 56 
5212501; 7.064 ; 30.535 ; 7.327 ; 902 ; 22 ; 2.352 ; 994 ; 53 ; 93 ; 34 ; 2 ; 1 ; 13 ; 91 ; 375 ; 1.215 ; 461 ; 69 ; 1 ; 128 ; 736 
5212600; 104 ; 309 ; 92 ; -   ; -   ; -   ; 8 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; 2 ; 8 ; 18 ; 15 ; -   ; -   ; -   ; 9 
5212709; 339 ; 1.261 ; 321 ; -   ; -   ; 15 ; 37 ; 4 ; 6 ; 1 ; -   ; -   ; 1 ; 5 ; 24 ; 53 ; 19 ; -   ; -   ; 8 ; 40 
5212808; 359 ; 1.243 ; 398 ; -   ; -   ; 83 ; 68 ; 4 ; 7 ; 1 ; -   ; -   ; 1 ; 7 ; 16 ; 82 ; 24 ; -   ; -   ; 12 ; 68 
5212907; 73 ; 348 ; 109 ; -   ; -   ; 7 ; 6 ; 1 ; 3 ; 1 ; -   ; -   ; 1 ; 2 ; 7 ; 23 ; 12 ; -   ; -   ; 6 ; 13 
5212956; 134 ; 507 ; 192 ; -   ; -   ; -   ; 12 ; 1 ; 4 ; 2 ; -   ; -   ; -   ; 4 ; 9 ; 44 ; 13 ; -   ; -   ; -   ; 23 
5213004; 478 ; 1.386 ; 366 ; -   ; -   ; 191 ; 76 ; 3 ; 6 ; 1 ; -   ; -   ; 2 ; 7 ; 18 ; 65 ; 21 ; -   ; -   ; 20 ; 70 
5213053; 64 ; 391 ; 106 ; -   ; -   ; 18 ; 18 ; 6 ; 7 ; 1 ; -   ; -   ; 1 ; 4 ; 2 ; 27 ; 10 ; -   ; -   ; 1 ; 17 
5213087; 1.111 ; 3.422 ; 1.132 ; 451 ; -   ; 301 ; 237 ; 13 ; 15 ; 5 ; 1 ; -   ; 4 ; 18 ; 62 ; 172 ; 74 ; 32 ; -   ; 31 ; 180 
5213103; 3.386 ; 9.121 ; 2.094 ; 342 ; -   ; 610 ; 415 ; 29 ; 29 ; 7 ; 4 ; -   ; 5 ; 31 ; 266 ; 369 ; 130 ; 24 ; -   ; 63 ; 387 
5213400; 38 ; 153 ; 41 ; -   ; -   ; -   ; 4 ; 2 ; 4 ; 1 ; -   ; -   ; -   ; 2 ; 4 ; 22 ; 6 ; -   ; -   ; -   ; 9 
5213509; 212 ; 1.075 ; 268 ; -   ; -   ; 56 ; 55 ; 4 ; 16 ; 5 ; -   ; -   ; 4 ; 8 ; 13 ; 92 ; 34 ; -   ; -   ; 26 ; 55 
5213707; 282 ; 999 ; 303 ; -   ; -   ; 29 ; 69 ; 4 ; 7 ; 1 ; -   ; -   ; 1 ; 5 ; 17 ; 52 ; 28 ; -   ; -   ; 8 ; 50 
5213756; 530 ; 1.651 ; 416 ; -   ; -   ; 101 ; 56 ; 7 ; 7 ; 2 ; -   ; -   ; 3 ; 6 ; 33 ; 75 ; 26 ; -   ; -   ; 24 ; 52 
5213772; 117 ; 494 ; 162 ; -   ; -   ; -   ; 32 ; 3 ; 6 ; 2 ; -   ; -   ; -   ; 5 ; 5 ; 36 ; 15 ; -   ; -   ; -   ; 24 
5213806; 1.663 ; 5.479 ; 1.664 ; 349 ; -   ; 380 ; 229 ; 23 ; 30 ; 7 ; 1 ; -   ; 3 ; 21 ; 72 ; 277 ; 141 ; 30 ; -   ; 38 ; 237 
5213855; 106 ; 314 ; 101 ; -   ; -   ; 19 ; 44 ; 1 ; 3 ; 1 ; -   ; -   ; 1 ; 3 ; 13 ; 20 ; 8 ; -   ; -   ; 6 ; 23 
5213905; 160 ; 500 ; 178 ; -   ; -   ; 27 ; 41 ; 3 ; 5 ; 1 ; -   ; -   ; 1 ; 6 ; 18 ; 49 ; 15 ; -   ; -   ; 11 ; 48 
5214002; 522 ; 1.953 ; 553 ; -   ; -   ; 117 ; 48 ; 5 ; 7 ; 1 ; -   ; -   ; 1 ; 4 ; 28 ; 88 ; 26 ; -   ; -   ; 17 ; 53 
5214051; 284 ; 794 ; 231 ; -   ; -   ; 17 ; 38 ; 4 ; 6 ; 2 ; -   ; -   ; 1 ; 7 ; 11 ; 54 ; 28 ; -   ; -   ; 8 ; 40 
5214101; 134 ; 500 ; 182 ; -   ; -   ; -   ; 21 ; 2 ; 2 ; 1 ; -   ; -   ; -   ; 2 ; 5 ; 22 ; 13 ; -   ; -   ; -   ; 19 
5214408; 388 ; 936 ; 251 ; -   ; -   ; -   ; 77 ; 3 ; 5 ; 2 ; -   ; -   ; -   ; 5 ; 16 ; 43 ; 18 ; -   ; -   ; -   ; 40 
5214507; 1.170 ; 4.151 ; 1.058 ; -   ; -   ; 435 ; 120 ; 8 ; 11 ; 3 ; -   ; -   ; 3 ; 13 ; 61 ; 177 ; 59 ; -   ; -   ; 39 ; 130 
5214606; 907 ; 4.650 ; 1.359 ; 554 ; -   ; 584 ; 209 ; 21 ; 26 ; 4 ; 2 ; -   ; 5 ; 22 ; 65 ; 271 ; 72 ; 29 ; -   ; 58 ; 216 
5214705; 183 ; 302 ; 93 ; -   ; -   ; 13 ; 13 ; 2 ; 2 ; 1 ; -   ; -   ; 1 ; 2 ; 17 ; 22 ; 14 ; -   ; -   ; 1 ; 16 
5214804; 114 ; 245 ; 33 ; -   ; -   ; -   ; 12 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; 2 ; 11 ; 12 ; 7 ; -   ; -   ; -   ; 9 
5214838; 369 ; 1.610 ; 295 ; -   ; -   ; 249 ; 50 ; 6 ; 9 ; 2 ; -   ; -   ; 4 ; 10 ; 21 ; 92 ; 21 ; -   ; -   ; 23 ; 79 
5214861; 248 ; 893 ; 213 ; -   ; -   ; 60 ; 64 ; 8 ; 11 ; 3 ; -   ; -   ; 1 ; 10 ; 24 ; 71 ; 25 ; -   ; -   ; 11 ; 66 
5214879; 107 ; 384 ; 124 ; -   ; -   ; 11 ; 11 ; 1 ; 2 ; 1 ; -   ; -   ; 1 ; 3 ; 9 ; 25 ; 14 ; -   ; -   ; 8 ; 18 
5214903; 84 ; 473 ; 119 ; -   ; -   ; -   ; 7 ; 1 ; 6 ; 1 ; -   ; -   ; -   ; 3 ; 5 ; 44 ; 16 ; -   ; -   ; -   ; 23 
5215009; 295 ; 1.022 ; 227 ; -   ; -   ; 67 ; 57 ; 2 ; 3 ; 1 ; -   ; -   ; 1 ; 5 ; 12 ; 56 ; 12 ; -   ; -   ; 9 ; 47 
5215207; 141 ; 354 ; 101 ; -   ; -   ; -   ; 14 ; 3 ; 4 ; 2 ; -   ; -   ; -   ; 2 ; 6 ; 34 ; 17 ; -   ; -   ; -   ; 17 
5215231; 2.976 ; 12.070 ; 2.508 ; -   ; -   ; 1.478 ; 251 ; 33 ; 44 ; 11 ; -   ; -   ; 8 ; 39 ; 119 ; 456 ; 189 ; -   ; -   ; 81 ; 324 
5215256; 107 ; 596 ; 140 ; -   ; -   ; -   ; 72 ; 2 ; 3 ; 1 ; -   ; -   ; -   ; 3 ; 9 ; 39 ; 15 ; -   ; -   ; -   ; 39 
5215306; 513 ; 1.681 ; 517 ; 79 ; -   ; 60 ; 54 ; 12 ; 14 ; 3 ; 1 ; -   ; 2 ; 14 ; 32 ; 107 ; 38 ; 7 ; -   ; 14 ; 77 
