CD_GEOCODMU;LONG;LAT
1709005;-47,31543549;-7,70917239
1709302;-48,50864061;-8,836165658
1709500;-49,07147747;-11,72977232
1709807;-48,45192623;-11,24628862
1710508;-47,7681124;-8,390980552
1710706;-47,47993595;-5,775385088
1710904;-48,11119961;-8,384329593
1711100;-48,6932637;-8,568828612
1711506;-48,59460829;-12,65292637
1711803;-49,09864319;-8,117423968
1711902;-49,62008534;-10,78869556
1711951;-47,56144663;-10,2968867
1712009;-48,35850395;-9,744682436
1712157;-46,50667572;-12,79165879
1712405;-46,67516546;-9,594570288
1712454;-47,85682804;-6,19398966
1712504;-49,65103399;-9,798880359
1712702;-46,41246574;-10,54442885
1712801;-47,50487996;-5,952566421
1713205;-48,38799131;-9,568346078
1713304;-48,59263194;-9,517404731
1713601;-48,11042003;-10,76354219
1713700;-48,9908906;-10,00559143
1713809;-47,55868353;-6,611862335
1713957;-48,60674528;-7,138519285
1714203;-47,72725753;-11,70535738
1714302;-47,66697718;-6,372557969
1714880;-48,42480679;-7,633314911
1715002;-48,90618072;-10,56687114
1715101;-47,66814839;-9,968486466
1715150;-46,57729735;-12,90993867
1715259;-46,6307873;-11,81587505
1715507;-48,90740157;-10,70836271
1715705;-47,93424971;-7,857561376
1715754;-48,41341396;-13,03988843
1716109;-48,88663008;-10,17122075
1716208;-47,88408373;-12,62048149
1716307;-49,36330648;-7,539998356
1716505;-48,17755611;-8,964449592
1716604;-48,53781063;-12,02977383
1716653;-48,93517987;-8,593340654
1716703;-48,75706659;-8,729371807
1717008;-47,57568772;-11,13820258
1717206;-48,29370739;-6,769777033
1717503;-49,16665801;-10,44093112
1717800;-46,46958679;-12,08781291
1717909;-47,54118036;-10,74067285
1718006;-47,0474256;-11,6072591
1718204;-48,41215346;-10,70856992
1718303;-47,81473173;-5,396712877
1718402;-48,50433067;-8,529960828
1718451;-48,89422045;-10,42430716
1718501;-47,2380412;-8,735360454
1718550;-48,1410455;-6,442211388
1718659;-46,8803997;-11,40494002
1718709;-48,53304797;-9,343742239
1718758;-47,89994164;-9,347789334
1718808;-47,87579246;-5,349295616
1718840;-49,93338815;-12,54160017
1718865;-48,6939418;-7,149936385
1718881;-47,74527042;-8,774976449
1718899;-48,90929401;-10,86645537
1718907;-48,11995422;-11,451404
1719004;-47,80628832;-10,28236153
1720002;-47,68428536;-6,436997618
1720101;-47,91939229;-6,044999257
1720150;-46,65498083;-10,17328585
1720200;-47,57300234;-5,553819529
1720259;-48,23208499;-12,74743341
1720309;-48,20383415;-5,258961454
1720499;-48,23294843;-11,97306746
1720655;-48,17982414;-11,14986131
1720804;-47,63742265;-5,604726857
1720853;-48,91112628;-11,98622151
1720903;-46,4387317;-12,39614174
1720937;-46,9845718;-12,19283721
1720978;-49,09111843;-12,78753841
1721000;-48,35104371;-10,16325333
1721109;-48,37587967;-9,558147734
1721208;-47,42741293;-6,325634376
1721257;-48,2066848;-8,980569549
1721307;-48,12299574;-8,395529997
1722081;-47,95626773;-6,850125517
1722107;-48,53160107;-6,41188502
2100055;-47,50666459;-4,951377
2100105;-43,320869;-4,135015477
2100154;-42,1155512;-2,840278279
2100204;-44,41701254;-2,403276525
2100303;-43,46873485;-4,630779495
2100402;-45,46467583;-4,162269267
2100436;-44,44824749;-4,207227
2100477;-45,84207962;-3,665170374
2100501;-45,92734401;-9,108365932
2100550;-46,0091799;-1,680921495
2100600;-46,75063755;-5,557662
2100709;-44,62067003;-3,257554842
2100808;-43,10579251;-3,667034662
2100832;-45,07665207;-1,530591578
2100873;-45,66879448;-2,949125623
2100907;-41,89913945;-2,889255846
2100956;-46,01363628;-4,886081505
2101004;-44,77883465;-3,45917097
2101103;-44,05458581;-2,837796837
2101202;-44,78155596;-4,23152463
2101251;-44,31542299;-2,985824779
2101301;-45,13734894;-1,724046318
2101350;-44,73574201;-2,710871977
2101400;-46,03899267;-7,53116999
2101509;-43,0264527;-6,758955206
2101608;-45,23901102;-5,5083395
2101707;-42,82780251;-2,750085949
2101731;-43,51006164;-3,156772228
2101772;-45,24824588;-3,73773325
2101806;-44,5598568;-7,218799795
2101905;-44,78573016;-2,462062995
2101939;-44,7643231;-4,630287491
2101970;-46,29871005;-1,793296136
2102002;-45,60188939;-3,544160978
2102036;-46,85324122;-4,489968353
2102077;-45,03110786;-4,375509601
2102101;-42,75084783;-3,679178
