COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;MAT_Federal_ini;MAT_Estadual_ini;MAT_Municipal_ini;MAT_Privada_ini;MAT_Federal_final;MAT_Estadual_final;MAT_Municipal_final;MAT_Privada_final;DOC_Pública_ini;DOC_Privada_ini;DOC_Pública_final;DOC_Privada_final;DOC_Pública_Mult;DOC_Privada_Mult;ESC_Federal_ini;ESC_Estadual_ini;ESC_Municipal_ini;ESC_Privada_ini;ESC_Federal_final;ESC_Estadual_final;ESC_Municipal_final;ESC_Privada_final
5203609;135;485;113; -   ; -   ;17;15;2;3;1; -   ; -   ;1;3;7;30;15; -   ; -   ;10;19; -   ; -   ; 237 ; -   ; -   ; 248 ; -   ; -   ; 12 ; -   ; 18 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 2 ; -   ; -   
5203807;241;859;234; -   ; -   ;38;18;3;5;1; -   ; -   ;2;4;13;40;17; -   ; -   ;11;27; -   ; -   ; 476 ; -   ; -   ; 383 ; -   ; -   ; 20 ; -   ; 21 ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; 2 ; -   ; -   
5203906;408;1.251;285; -   ; -   ;93;264;6;6;1; -   ; -   ;1;6;24;86;29; -   ; -   ;15;88; -   ; -   ; 600 ; 61 ; -   ; 555 ; -   ; 35 ; 29 ; 14 ; 49 ; 11 ; -   ; -   ; -   ; -   ; 3 ; 1 ; -   ; 2 ; -   ; 1 
5203939;107;320;99; -   ; -   ;13;12;2;2;1; -   ; -   ;1;2;5;19;10; -   ; -   ;7;17; -   ; -   ; 180 ; -   ; -   ; 101 ; 39 ; -   ; 10 ; -   ; 14 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   
5203962;130;511;130; -   ; -   ;29;37;1;3;1; -   ; -   ;1;4;9;35;15; -   ; -   ;7;34; -   ; -   ; 273 ; -   ; -   ; 122 ; 116 ; -   ; 15 ; -   ; 26 ; -   ; 3 ; -   ; -   ; -   ; 2 ; -   ; -   ; 1 ; 2 ; -   
5204003;254;1.062;301; -   ; -   ;92;70;6;7;1; -   ; -   ;2;7;13;63;18; -   ; -   ;25;56; -   ; -   ; 519 ; 49 ; -   ; 438 ; 56 ; -   ; 29 ; 4 ; 30 ; -   ; -   ; -   ; -   ; -   ; 4 ; 1 ; -   ; 2 ; 1 ; -   
5204102;524;1.440;368; -   ; -   ;184;50;2;5;1; -   ; -   ;3;7;21;64;15; -   ; -   ;21;66; -   ; 111 ; 671 ; 48 ; -   ; 542 ; 37 ; 31 ; 39 ; 5 ; 21 ; 6 ; -   ; -   ; -   ; 1 ; 2 ; 1 ; -   ; 1 ; 1 ; 1 
5204201;51;172;53; -   ; -   ; -   ;7;1;2;1; -   ; -   ; -   ;1;3;12;7; -   ; -   ; -   ;9; -   ; 44 ; 55 ; -   ; -   ; 73 ; -   ; -   ; 6 ; -   ; 6 ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; 1 ; -   ; -   
5204250;458;993;285; -   ; -   ;17;35;3;4;1; -   ; -   ;1;4;25;54;26; -   ; -   ;10;46; -   ; -   ; 566 ; -   ; -   ; 426 ; 1 ; -   ; 28 ; -   ; 34 ; -   ; 8 ; -   ; -   ; -   ; 3 ; -   ; -   ; 1 ; 1 ; -   
5204300;475;1.644;418; -   ; -   ;87;144;4;9;2; -   ; -   ;2;6;25;81;29; -   ; -   ;18;63; -   ; -   ; 753 ; 145 ; -   ; 107 ; 552 ; 87 ; 37 ; 14 ; 33 ; 10 ; 3 ; -   ; -   ; -   ; 5 ; 2 ; -   ; 1 ; 1 ; 1 
5204409;539;1.871;416;491; -   ;125;119;10;14;2;1; -   ;3;13;33;112;41;13; -   ;23;102; -   ; -   ; 894 ; 135 ; -   ; 709 ; 58 ; 75 ; 39 ; 8 ; 64 ; 10 ; 8 ; -   ; -   ; -   ; 9 ; 1 ; -   ; 4 ; 1 ; 1 
5204508;4.017;12.481;3.160;270; -   ;1.119;309;43;36;12;2; -   ;8;43;270;524;208;24; -   ;92;414; -   ; 899 ; 4.705 ; 1.265 ; -   ; 2.844 ; 2.035 ; 733 ; 226 ; 105 ; 200 ; 97 ; -   ; -   ; -   ; 3 ; 16 ; 12 ; -   ; 8 ; 7 ; 10 
